,causal_model_name,model_t,model_y,est_ate,true_ate,mu_risk,tao_risk,run_time,data,file_name,best_model_y_params,best_model_t_params
39,CausalForestDML,RandomForestClassifier,LogisticRegressionCV,0.1515692054861728,0.197006069193618,,0.0020645085835689,3.978743076324463,acic,high3191,,
40,CausalForestDML,LogisticRegressionCV,LogisticRegressionCV,0.2033835145417752,0.197006069193618,,4.067180916873271e-05,5.170156955718994,acic,high3191,,
41,CausalForestDML,MLPClassifier,LogisticRegressionCV,0.1441455982993133,0.197006069193618,,0.0027942293831676,19.486495971679688,acic,high3191,,
42,CausalForestDML,str,LogisticRegressionCV,0.1484058464389861,0.197006069193618,,0.0023619816517998,9.453855991363524,acic,high3191,,
43,CausalForestDML,RandomForestClassifier,MLPClassifier,0.1191010841197606,0.197006069193618,,0.0060691866993579,11.465446949005129,acic,high3191,,
44,CausalForestDML,LogisticRegressionCV,MLPClassifier,0.1784356362841272,0.197006069193618,,0.0003448609784458,17.137582063674927,acic,high3191,,
45,CausalForestDML,MLPClassifier,MLPClassifier,0.1407181654932757,0.197006069193618,,0.003168328102979,35.96803283691406,acic,high3191,,
46,CausalForestDML,str,MLPClassifier,0.1946922905746846,0.197006069193618,,5.353571497433063e-06,26.897207021713257,acic,high3191,,
47,CausalForestDML,RandomForestClassifier,str,0.1292123762533018,0.197006069193618,,0.0045959848024858,14.71112322807312,acic,high3191,,
48,CausalForestDML,LogisticRegressionCV,str,0.1523865419126684,0.197006069193618,,0.0019909022147754,15.987704992294312,acic,high3191,,
49,CausalForestDML,MLPClassifier,str,0.1110522727025676,0.197006069193618,,0.0073880551312248,29.59477710723877,acic,high3191,,
50,CausalForestDML,str,str,0.1957776340973731,0.197006069193618,,1.5090527856860823e-06,22.083614110946655,acic,high3191,,
51,TLearner,,RandomForestClassifier,0.2473333333333333,0.216588097389286,,0.0009452695332551,0.8582451343536377,acic,high2648,,
52,TLearner,,LogisticRegressionCV,0.236,0.216588097389286,,0.0003768219629678,1.355088233947754,acic,high2648,,
53,TLearner,,MLPClassifier,0.2953333333333333,0.216588097389286,,0.0062008121838836,15.808248043060305,acic,high2648,,
54,LinearDML,RandomForestClassifier,RandomForestClassifier,0.1784946996205846,0.216588097389286,,0.0014511069535645,13.424950122833252,acic,high2648,,
55,LinearDML,LogisticRegressionCV,RandomForestClassifier,0.1479307877740704,0.216588097389286,,0.0047138261635995,10.296420097351074,acic,high2648,,
56,LinearDML,MLPClassifier,RandomForestClassifier,0.1673328753995384,0.216588097389286,,0.0024260768932593,12.504575967788696,acic,high2648,,
57,LinearDML,str,RandomForestClassifier,0.182129737205005,0.216588097389286,,0.0011873785865896,23.05149817466736,acic,high2648,,
58,LinearDML,RandomForestClassifier,LogisticRegressionCV,0.2008193809265634,0.216588097389286,,0.0002486524188817,88.50900983810425,acic,high2648,,
59,LinearDML,LogisticRegressionCV,LogisticRegressionCV,0.1995784047823111,0.216588097389286,,0.0002893296425837,93.0909821987152,acic,high2648,,
60,LinearDML,MLPClassifier,LogisticRegressionCV,0.193311698053946,0.216588097389286,,0.0005417907660182,90.90488719940186,acic,high2648,,
